Number,Business,Phone,Formatted,E164,Type,Category,Website,Notes
36,"Howard's Electrical Service",(813) 875-1400,(813) 875-1400,+18138751400,Landline/Mobile,"Electricians",howelec.com,"Tampa, since 1989"
37,"On Time Electric",(813) 644-4413,(813) 644-4413,+18136444413,Landline/Mobile,"Electricians",mytampabayelectrician.com,"Same day service, all Tampa Bay"
38,"Luminous Electric",(727) 954-4666,(727) 954-4666,+17279544666,Landline/Mobile,"Electricians",lumelect.com,"BBB A+, award-winning, family-owned"
39,"Groves Electric",(813) 855-0048,(813) 855-0048,+18138550048,Landline/Mobile,"Electricians",groveselectricinc.com,"Since 1998, 8x Angie's List award"
40,"Tampa Pest Control Experts",(813) 544-0963,(813) 544-0963,+18135440963,Landline/Mobile,"Pest Control",tampapestcontrolexperts.com,"Since 1999, $29.99/mo"
41,"Pestgo Exterminators",(813) 875-3083,(813) 875-3083,+18138753083,Landline/Mobile,"Pest Control",pestgoexterminatorsinc.com,"Local Tampa"
42,"Tri-S Pest Control",(813) 936-5850,(813) 936-5850,+18139365850,Landline/Mobile,"Pest Control",tri-spestcontrol.com,"Free estimates"
43,"Tampa Bay Pest Management",(813) 416-3692,(813) 416-3692,+18134163692,Landline/Mobile,"Pest Control",tampabaypestmgmt.com,"Wesley Chapel expert"
44,"Seabreeze Pest Control",(727) 841-9880,(727) 841-9880,+17278419880,Landline/Mobile,"Pest Control",seabreezepestcontrol.com,"Wesley Chapel/lawn treatment"
45,"Consolidated Pest Control",(813) 662-1063,(813) 662-1063,+18136621063,Landline/Mobile,"Pest Control",consolidatedpestcontrol.com,"Serves 20+ cities Tampa Bay"
46,"Heaven Sent Roofing",(813) 728-1234,(813) 728-1234,+18137281234,Landline/Mobile,"Roofing",heavensentroofingfl.com,"4016 Henderson Blvd"
47,"Rainier Roofing LLC",(813) 920-9065,(813) 920-9065,+18139209065,Landline/Mobile,"Roofing",rainierroofing.com,"GAF Master Elite, 15+ years"
48,"Bill Shields Roofing",(813) 839-7706,(813) 839-7706,+18138397706,Landline/Mobile,"Roofing",billshieldsroofing.com,"70 years experience"
49,"Hytz Roofing",(813) 436-0761,(813) 436-0761,+18134360761,Landline/Mobile,"Roofing",hytzroofing.com,"Local company"
50,"Bayside Roofing Pros",(727) 844-7663,(727) 844-7663,+17278447663,Landline/Mobile,"Roofing",baysideroofingpros.com,"Family-owned, Holiday FL"
51,"All Area Roofing",(813) 247-7663,(813) 247-7663,+18132477663,Landline/Mobile,"Roofing",allarearoofing.com,"Since 1997, commercial/industrial"
52,"Acoma Roofing",(727) 733-5580,(727) 733-5580,+17277335580,Landline/Mobile,"Roofing",acomaroofing.com,"Residential/commercial Tampa"
53,"Sutter Roofing Tampa",(813) 868-0800,(813) 868-0800,+18138680800,Landline/Mobile,"Roofing",sutterroofing.com,"Large commercial"
54,"Harbor Roofing",(813) 330-7022,(813) 330-7022,+18133307022,Landline/Mobile,"Roofing",harborroofing.com,"Small owner-involved, Reddit rec"
55,"Tampa Bay Roofing",(813) 291-ROOF,(813) 291-7663,+18132917663,Landline/Mobile,"Roofing",tampabayroofing.com,"3 generations, Chris Hloska owner"
56,"Precision Garage Door St Pete",(727) 898-1000,(727) 898-1000,+17278981000,Landline/Mobile,"Garage Door Repair",stpetegaragedoors.com,"St Petersburg"
57,"Warehouse Doors",(727) 615-3667,(727) 615-3667,+17276153667,Landline/Mobile,"Garage Door Repair",warehousedoors.com,"Clearwater/St Pete/Tampa commercial"
58,"Garage Door On FL",(813) 461-6009,(813) 461-6009,+18134616009,Landline/Mobile,"Garage Door Repair",garagedooronfl.com,"Licensed, Tampa"
59,"Bayside Garage Doors",(813) 670-2087,(813) 670-2087,+18136702087,Landline/Mobile,"Garage Door Repair",baysidegaragedoor.com,"Same day repairs, Tampa/St Pete"
60,"Hurricane Garage Door",(813) 344-2943,(813) 344-2943,+18133442943,Landline/Mobile,"Garage Door Repair",hurricanegaragedoor.com,"Tampa/Clearwater/St Pete"
61,"Genie of Clearwater",(727) 446-0189,(727) 446-0189,+17274460189,Landline/Mobile,"Garage Door Repair",genieofclearwater.com,"Free estimates, Pinellas"
62,"Economy Fence Tampa",(813) 937-1234,(813) 937-1234,+18139371234,Landline/Mobile,"Garage Door Repair",economyfencetampa.com,"Fence & garage door"
63,"Florida Fence Tampa",(813) 237-0056,(813) 237-0056,+18132370056,Landline/Mobile,"Garage Door Repair",floridafence.com,"Tampa Bay fence specialist"
64,"Positive Pool Services",(813) 677-4232,(813) 677-4232,+18136774232,Landline/Mobile,"Pool Service",positivepoolservices.com,"Tampa residential/commercial"
65,"Blue Pool Services",(813) 531-5023,(813) 531-5023,+18135315023,Landline/Mobile,"Pool Service",bluepoolservices.net,"Land O Lakes"
66,"ASP Pool Co Tampa",(813) 548-4297,(813) 548-4297,+18135484297,Landline/Mobile,"Pool Service",asppoolco.com/tampa,"Tampa/Lutz/Odessa"
67,"Sharper Image Pools",(813) 839-6333,(813) 839-6333,+18138396333,Landline/Mobile,"Pool Service",sharperimagepools.com,"Tampa/St Pete, multiple plans"
68,"ASP Pool Wesley Chapel",(813) 722-1665,(813) 722-1665,+18137221665,Landline/Mobile,"Pool Service",asppoolco.com/wesleychapel,"Wesley Chapel area"
69,"Calta's Clear Pools",(813) 545-8541,(813) 545-8541,+18135458541,Landline/Mobile,"Pool Service",caltasclearpools.com,"Wesley Chapel, monthly service"
70,"Perfect Catch Electric Pool",(727) 594-4107,(727) 594-4107,+17275944107,Landline/Mobile,"Pool Service",callperfectcatch.com,"Pool electrical repair"
71,"Fieldstone Landscape",(727) 822-7866,(727) 822-7866,+17278227866,Landline/Mobile,"Landscaping & Lawn Care",fieldstonels.com,"Commercial, Tampa/Clearwater/St Pete"
72,"US Lawns Clearwater",(727) 638-9744,(727) 638-9744,+17276389744,Landline/Mobile,"Landscaping & Lawn Care",uslawns.com/clearwater,"Commercial landscaping"
73,"I Care Lawn Care",(813) 391-4654,(813) 391-4654,+18133914654,Landline/Mobile,"Landscaping & Lawn Care",icarelawncareflorida.com,"Land O Lakes/Tampa/Clearwater"
74,"Landscape Design by Mark",(727) 458-0229,(727) 458-0229,+17274580229,Landline/Mobile,"Landscaping & Lawn Care",landscapedesignbymark.com,"St Pete landscaping"
75,"Bestway Lawn Care",(727) 594-4227,(727) 594-4227,+17275944227,Landline/Mobile,"Landscaping & Lawn Care",bestwaylawncare.com,"Tampa Bay lawn/tree trimming"
76,"Top Pro Cleaning",(813) 361-9099,(813) 361-9099,+18133619099,Landline/Mobile,"Pressure Washing",topprocleaning.com,"Tampa/St Pete/Clearwater"
77,"Roof Wash Tampa",(727) 600-8044,(727) 600-8044,+17276008044,Landline/Mobile,"Pressure Washing",roofwashtampa.com,"10% off, Clearwater/Palm Harbor"
78,"Pressure Washing Clearwater",(813) 991-7243,(813) 991-7243,+18139917243,Landline/Mobile,"Pressure Washing",pressurewashingclearwater.com,"Family-owned, Tampa/Clearwater"
79,"Robin Hod Pressure Washing",(727) 466-8916,(727) 466-8916,+17274668916,Landline/Mobile,"Pressure Washing",robinhodspressurewashing.com,"Clearwater soft wash"
80,"Cool Breeze Premier",(727) 584-6622,(727) 584-6622,+17275846622,Landline/Mobile,"Pressure Washing",coolbreezepw.com,"24+ years, roof cleaning"
81,"Hurricane Clean",(813) 967-6088,(813) 967-6088,+18139676088,Landline/Mobile,"Pressure Washing",pressurewashingtampabay.com,"Since 1999, residential/commercial"
82,"Bayshore Power Wash",(813) 638-1106,(813) 638-1106,+18136381106,Landline/Mobile,"Pressure Washing",bayshorepowerwash.com,"Tampa house washing"
83,"Michaelson's Appliance",(813) 935-1919,(813) 935-1919,+18139351919,Landline/Mobile,"Appliance Repair",michaelsons.us,"High-end appliance, Tampa Bay"
84,"ER Appliance Repair",(813) 590-1272,(813) 590-1272,+18135901272,Landline/Mobile,"Appliance Repair",erappliance.com,"St Pete, Pinellas County"
85,"Ralph's Appliance Repair",(727) 230-4815,(727) 230-4815,+17272304815,Landline/Mobile,"Appliance Repair",ralphsappliancerepair.com,"St Pete/Tampa/Clearwater/Lakeland"
86,"Express Appliance Repair",(727) 240-2477,(727) 240-2477,+17272402477,Landline/Mobile,"Appliance Repair",appliancerepair-stpetersburgfl.com,"St Pete, commercial too"
87,"Excellence Appliance",(813) 533-5595,(813) 533-5595,+18135335595,Landline/Mobile,"Appliance Repair",excellenceappliancerepair.com,"Same-day Tampa"
88,"Gulf Coast Appliances",(727) 510-3524,(727) 510-3524,+17275103524,Landline/Mobile,"Appliance Repair",gulfcoastappliances.com,"St Pete, same/next day"
89,"Tampa Bay Lock & Key",(813) 238-8000,(813) 238-8000,+18132388000,Landline/Mobile,"Locksmiths",tampabaylockkeyinc.com,"Since 1957, 24/7"
90,"Super Lock & Key",(813) 285-4886,(813) 285-4886,+18132854886,Landline/Mobile,"Locksmiths",superlockandkey.com,"788+ 5-star reviews, 24/7"
91,"Pop-A-Lock Tampa",(813) 999-0727,(813) 999-0727,+18139990727,Landline/Mobile,"Locksmiths",popalocktampafl.com,"ALOA certified"
92,"Tampa Locksmith",(813) 262-0421,(813) 262-0421,+18132620421,Landline/Mobile,"Locksmiths",tampalocksmith.net,"24/7 emergency, Riverview"
93,"Tampa FL 24/7 Locksmith",(813) 856-1009,(813) 856-1009,+18138561009,Landline/Mobile,"Locksmiths",tampafl247locksmith.com,"Bonded & licensed"
94,"Town N Country Locksmith",(813) 252-2293,(813) 252-2293,+18132522293,Landline/Mobile,"Locksmiths",locksmithtownncountry.com,"24/7 emergency"
95,"Miller & Sons Tree Service",(813) 771-8733,(813) 771-8733,+18137718733,Landline/Mobile,"Tree Service",millersontreeservice.com,"Residential/commercial Tampa Bay"
96,"All Weather Trees",(813) 787-8206,(813) 787-8206,+18137878206,Landline/Mobile,"Tree Service",allweathertrees.com,"Tree trimming/removal/landscaping"
97,"81 Tree Services",(813) 997-7719,(813) 997-7719,+18139977719,Landline/Mobile,"Tree Service",81treeservices.com,"Certified, 12 years, family-owned"
98,"Tampa Tree Service",(813) 445-8602,(813) 445-8602,+18134458602,Landline/Mobile,"Tree Service",treeservicestampa.net,"Free quotes, tree cutting"
99,"Tampa Tree Removal",(813) 328-1288,(813) 328-1288,+18133281288,Landline/Mobile,"Tree Service",tampa-tree.com,"Brandon/Citrus Park/Dunedin"
100,"Arborista Board",(813) 920-4410,(813) 920-4410,+18139204410,Landline/Mobile,"Tree Service",arboristaboard.com,"Trimming/pruning Tampa Bay"
101,"UCM Carpet Cleaning Tampa",(813) 569-0789,(813) 569-0789,+18135690789,Landline/Mobile,"Carpet Cleaning",carpetcleaningtampafl.com,"Professional, affordable"
102,"USA Clean Master Tampa",(813) 699-9992,(813) 699-9992,+18136999992,Landline/Mobile,"Carpet Cleaning",usacleanmaster.com,"Green cleaning solutions"
103,"World Class Services",(813) 886-1815,(813) 886-1815,+18138861815,Landline/Mobile,"Carpet Cleaning",carpetandupholsterycleaningtampa.com,"39 years, 5-star rated"
104,"Bowden's Carpet Cleaning",(813) 886-1815,(813) 886-1815,+18138861815,Landline/Mobile,"Carpet Cleaning",tampasbestcarpetcleaner.com,"23+ years, family-owned"
105,"The Handyman Company St Pete",(727) 341-9011,(727) 341-9011,+17273419011,Landline/Mobile,"Handyman Services",the-handyman-company.com,"St Pete/Clearwater"
106,"St Pete Property Professionals",(727) 341-9011,(727) 341-9011,+17273419011,Landline/Mobile,"Handyman Services",stpetepropertyprofessionals.com,"St Pete/Pinellas Park/Gulfport"
107,"Pro Drain Cleaning Tampa",(813) 531-7210,(813) 531-7210,+18135317210,Landline/Mobile,"Drain Cleaning & Sewer",prodraincleaningtampa.com,"24/7 emergency, hydro-jetting"
108,"The Drain Team",(813) 535-5085,(813) 535-5085,+18135355085,Landline/Mobile,"Drain Cleaning & Sewer",thedrainteam.com,"Brandon/Clearwater/St Pete"
109,"Shine Time Window",(813) 893-7001,(813) 893-7001,+18138937001,Landline/Mobile,"Window Cleaning",shinetimewindowcleaning.org,"St Pete"
110,"Krystal Klean Tampa",(727) 914-1014,(727) 914-1014,+17279141014,Landline/Mobile,"Window Cleaning",windowcleaningexperts.com,"Since 1979, BBB accredited"
111,"Window Gang Tampa",(813) 568-9314,(813) 568-9314,+18135689314,Landline/Mobile,"Window Cleaning",windowgang.com/tampa-fl,"Safe alternative cleaning"
112,"Tampa Bay Window Cleaning",(727) 594-4227,(727) 594-4227,+17275944227,Landline/Mobile,"Window Cleaning",tampabaywindowclean.com,"Local Tampa Bay"
113,"Finicky Window Cleaning",(727) 594-4227,(727) 594-4227,+17275944227,Landline/Mobile,"Window Cleaning",finickywindowcleaning.com,"Tampa/St Pete/Clearwater"
114,"Bay Area Fencing Company",(813) 586-3490,(813) 586-3490,+18135863490,Landline/Mobile,"Fence Companies",bayareafencingcompany.com,"Tampa installation/repair"
115,"Tampa Fence Team",(813) 906-0896,(813) 906-0896,+18139060896,Landline/Mobile,"Fence Companies",fenceinstallationtampafl.com,"Residential/commercial"
116,"Tampa Bay Fence & Gate",(727) 739-5255,(727) 739-5255,+17277395255,Landline/Mobile,"Fence Companies",tampabayfenceandgate.com,"St Pete"
117,"Big Jerry's Fencing",(813) 864-4858,(813) 864-4858,+18138644858,Landline/Mobile,"Fence Companies",bigjerrysfencing.com,"Tampa area"
118,"Keith's Concrete & Masonry",(813) 931-1733,(813) 931-1733,+18139311733,Landline/Mobile,"Concrete Contractors",keithsconcreteandmasonry.com,"Tampa"
119,"Mr. Patio",(813) 526-5602,(813) 526-5602,+18135265602,Landline/Mobile,"Concrete Contractors",mrpatio.net,"Custom hardscapes Tampa"
120,"Bayside Concrete",(813) 240-9454,(813) 240-9454,+18132409454,Landline/Mobile,"Concrete Contractors",baysideconcreteandconstruction.com,"Tampa Bay home/patios"
121,"Pro Concrete Contractors",(813) 750-0680,(813) 750-0680,+18137500680,Landline/Mobile,"Concrete Contractors",proconcretecontractors.com,"Patios/driveways/foundations"
122,"Mark's Painting",(813) 831-5433,(813) 831-5433,+18138315433,Landline/Mobile,"Painting Contractors",markspainting.com,"Same-day estimates, licensed"
123,"Integrity Finishes",(727) 542-2946,(727) 542-2946,+17275422946,Landline/Mobile,"Painting Contractors",paintingtampabay.com,"Tampa Bay, Clearwater"
124,"Premium Painters",(727) 240-4933,(727) 240-4933,+17272404933,Landline/Mobile,"Painting Contractors",premiumpainters.com,"9x Angie's Super Service"
125,"Tampa Bay Painting Co",(727) 240-4933,(727) 240-4933,+17272404933,Landline/Mobile,"Painting Contractors",tampabaypaintingcompany.com,"St Pete/Clearwater, 20+ years"
126,"Improovy Painters Tampa",(813) 710-3927,(813) 710-3927,+18137103927,Landline/Mobile,"Painting Contractors",improovy.com/tampa,"#1 rated 2023"
127,"Tampa Gutter Cleaning",(813) 842-8614,(813) 842-8614,+18138428614,Landline/Mobile,"Gutter Services",tampaguttercleaning.com,"Brandon, Hillsborough County"
128,"Pat the Gutter Rat",(813) 251-0957,(813) 251-0957,+18132510957,Landline/Mobile,"Gutter Services",patthegutterrat.com,"Residential/commercial/HOA"
129,"Tampa Bay Gutters Inc",(813) 605-0779,(813) 605-0779,+18136050779,Landline/Mobile,"Gutter Services",tampabayguttersinc.com,"Lakeland/Tampa/Ruskin"
130,"Cleaner Image Gutter Guard",(727) 306-8885,(727) 306-8885,+17273068885,Landline/Mobile,"Gutter Services",cleanerimageco.com,"RainDrop 20-year warranty"
131,"Express Air Duct Cleaning",(813) 670-9155,(813) 670-9155,+18136709155,Landline/Mobile,"Air Duct Cleaning",express-airductcleaning.com,"Tampa specialists"
132,"DUCTZ Tampa Bay",(727) 787-7087,(727) 787-7087,+17277877087,Landline/Mobile,"Air Duct Cleaning",ductzoftampabay.com,"Since 1989, St Pete"
133,"Hawkins Air Duct",(813) 738-6560,(813) 738-6560,+18137386560,Landline/Mobile,"Air Duct Cleaning",hawkinsserviceco.com,"Tampa/Clearwater/St Pete"
134,"Bright Air Duct Cleaning",(813) 670-9155,(813) 670-9155,+18136709155,Landline/Mobile,"Air Duct Cleaning",brightairductcleaning.com,"323+ 5-star reviews"
135,"Quality Septic Tampa",(813) 547-5525,(813) 547-5525,+18135475525,Landline/Mobile,"Septic Services",qualitysepticincorporated.com,"Tampa/Brandon/Wesley Chapel"
136,"Tampa Septic Services",(813) 662-1063,(813) 662-1063,+18136621063,Landline/Mobile,"Septic Services",therealtampaseptic.com,"5 counties, 30+ years"
137,"Coleman Tank Solutions",(813) 687-4990,(813) 687-4990,+18136874990,Landline/Mobile,"Septic Services",colemantanksolutions.com,"Brandon/Tampa/Hillsborough"
138,"Quality Septic Brandon",(813) 328-7579,(813) 328-7579,+18133287579,Landline/Mobile,"Septic Services",qualitysepticincorporated.com,"Brandon/Valrico/Seffner"
139,"Joe Blow's Insulation Tampa",(727) 761-4521,(727) 761-4521,+17277614521,Landline/Mobile,"Insulation Contractors",joeblowsinsulationfl.com,"Attic/air sealing"
140,"Joe Blow's Brandon",(727) 454-0172,(727) 454-0172,+17274540172,Landline/Mobile,"Insulation Contractors",joeblowsinsulationfl.com,"Brandon FL"
141,"TLS Energy Savers",(813) 454-0172,(813) 454-0172,+18134540172,Landline/Mobile,"Insulation Contractors",tlsenergysavers.com,"Family-owned, 10+ years"
142,"Solid Foundations",(855) 227-0300,(855) 227-0300,+18552270300,Toll-Free,"Foundation Repair",solidfoundations.com,"Free estimates, seawall too"
143,"Helicon Tampa",(813) 567-1065,(813) 567-1065,+18135671065,Landline/Mobile,"Foundation Repair",heliconusa.com,"Foundation/seawall/soil"
144,"Foundation Masters",(813) 614-1718,(813) 614-1718,+18136141718,Landline/Mobile,"Foundation Repair",foundationmasters.com,"#1 Tampa contractors"
145,"Fortified Foundations",(813) 856-1312,(813) 856-1312,+18138561312,Landline/Mobile,"Foundation Repair",foundationrepairtampafl.com,"Local Tampa experts"
146,"TampaBayMold.net",(813) 358-4766,(813) 358-4766,+18133584766,Landline/Mobile,"Mold Remediation",tampabaymold.net,"Tampa Bay region"
147,"Restoration 1 Tampa Bay",(813) 605-1624,(813) 605-1624,+18136051624,Landline/Mobile,"Mold Remediation",restoration1.com/tampa-bay,"24/7, water/fire/mold"
148,"Mold Zero",(727) 605-1624,(727) 605-1624,+17276051624,Landline/Mobile,"Mold Remediation",moldzero.com,"Largo, Tampa Bay area"
149,"DriRite Tampa",(813) 605-1624,(813) 605-1624,+18136051624,Landline/Mobile,"Mold Remediation",driritetampa.com,"24/7 mold removal"
150,"Rodriguez Sod Ranch",(813) 886-2163,(813) 886-2163,+18138862163,Landline/Mobile,"Irrigation & Sprinklers",rodriguezsod.com,"Tampa irrigation repairs"
151,"American Irrigation Services",(813) 886-2163,(813) 886-2163,+18138862163,Landline/Mobile,"Irrigation & Sprinklers",lawnsprinklerstampa.com,"Brandon/Plant City"
152,"Tampa Water Heater Repair",(813) 853-1366,(813) 853-1366,+18138531366,Landline/Mobile,"Water Heater Services",tampawaterheaterrepair.com,"Owner James, same-day"
153,"Same Day BC Fix",(813) 733-6900,(813) 733-6900,+18137336900,Landline/Mobile,"Water Heater Services",samedaybcfixwaterheater.com,"Emergency, Hillsborough"
154,"Integrity Home Solutions",(813) 531-9480,(813) 531-9480,+18135319480,Landline/Mobile,"Water Heater Services",homeofintegrity.com,"HVAC/electrical/plumbing"
155,"Solar22 Tampa",(813) 575-3200,(813) 575-3200,+18135753200,Landline/Mobile,"Solar & Generators",install.solar22.com,"Sales/installation/repair"
156,"Coast to Coast Solar",(813) 406-6501,(813) 406-6501,+18134066501,Landline/Mobile,"Solar & Generators",coasttocoastsolar.com,"Lutz, Pinellas/Hillsborough/Pasco"
157,"Tampa Bay Solar Energy",(727) 851-7005,(727) 851-7005,+17278517005,Landline/Mobile,"Solar & Generators",tampabaysolarenergy.com,"St Pete, pool heating too"
158,"Generator Supercenter Tampa",(813) 488-6030,(813) 488-6030,+18134886030,Landline/Mobile,"Solar & Generators",generatorsupercenter.com,"Generac installation/repair"
159,"London Security Systems",(727) 397-7699,(727) 397-7699,+17273977699,Landline/Mobile,"Home Security",londonsecuritysystems.com,"Since 1985, Tampa Bay"
160,"Florida Alarm",(888) 252-7652,(888) 252-7652,+18882527652,Toll-Free,"Home Security",floridaalarm.com,"Tampa/St Pete burglar/fire"
161,"Bales Security",(813) 314-9101,(813) 314-9101,+18133149101,Landline/Mobile,"Home Security",balessecurity.com,"Patrols Tampa/St Pete/Clearwater"
162,"Secure24 Alarm Tampa",(813) 355-0757,(813) 355-0757,+18133550757,Landline/Mobile,"Home Security",securehometampa.com,"ADT dealer"
163,"Dynamic Floor Coating",(813) 369-5261,(813) 369-5261,+18133695261,Landline/Mobile,"Flooring",dynamicfloorcoating.com,"Tampa, discounts available"
164,"JB Factory Flooring",(813) 369-5261,(813) 369-5261,+18133695261,Landline/Mobile,"Flooring",jbfactoryflooring.com,"Tampa/Wesley Chapel/Westchase"
